,Brand,Processor,RAM (GB),Storage,GPU,Screen Size (inch),Resolution,Battery Life (hours),Weight (kg),Operating System,Price ($),Laptop_ID,Storage Size (GB),Disk Type,Disk Type Numeric,Processor Rank,GPU Rank,Brand Score,Log Price,Performance Score
926,Microsoft,AMD Ryzen 9,64,1TB HDD,Nvidia RTX 3060,17.3,1366x768,8.7,1.4,Linux,2896.75,926,1024.0,HDD,0,4,6,1975.2035489361701,7.971689852768854,19.300389318579395
927,Lenovo,Intel i5,8,1TB SSD,AMD Radeon RX 6800,16.0,1920x1080,6.3,2.4,Windows,1031.73,927,1024.0,SSD,1,2,4,1978.465790393013,6.939961060318355,2.897724558481875
928,Samsung,AMD Ryzen 9,8,1TB SSD,Nvidia RTX 3080,16.0,1366x768,11.8,2.88,macOS,1600.64,928,1024.0,SSD,1,4,7,1959.007248495271,7.378783383274061,3.46722569021147
929,HP,Intel i7,64,1TB HDD,Nvidia RTX 3060,17.3,3840x2160,11.7,2.25,Linux,4361.18,929,1024.0,HDD,0,3,6,1938.5187334437085,8.38072721138473,19.102713820007978
930,Lenovo,Intel i9,32,2TB SSD,AMD Radeon RX 6800,13.3,1366x768,4.1,1.96,Linux,2069.99,930,2048.0,SSD,1,4,4,1978.465790393013,7.635782032798702,10.103595701294786
931,Lenovo,Intel i9,8,256GB SSD,AMD Radeon RX 6600,15.6,3840x2160,5.1,3.02,Linux,3031.56,931,256.0,SSD,1,4,3,1978.465790393013,8.01716242627787,3.235025510762456
932,Acer,AMD Ryzen 5,64,1TB SSD,AMD Radeon RX 6800,16.0,2560x1440,11.2,3.15,macOS,3284.28,932,1024.0,SSD,1,2,4,1914.1085150214592,8.09720716320719,18.788938231712052
933,Dell,AMD Ryzen 7,16,256GB SSD,Nvidia RTX 2060,17.3,2560x1440,9.3,2.9,macOS,2050.04,933,256.0,SSD,1,3,5,1972.2702222222224,7.626102260563824,5.423623483805571
934,Acer,AMD Ryzen 9,16,256GB SSD,Nvidia GTX 1650,13.3,1366x768,9.7,2.63,Linux,1807.38,934,256.0,SSD,1,4,2,1914.1085150214592,7.500186695859183,5.447148847790229
935,Razer,AMD Ryzen 3,16,1TB SSD,Nvidia RTX 3080,13.3,1366x768,5.2,2.01,FreeDOS,1088.39,935,1024.0,SSD,1,1,7,2695.213804444444,6.993373185542656,5.144372576387243
936,HP,AMD Ryzen 3,4,512GB SSD,Nvidia GTX 1650,15.6,3840x2160,4.0,3.11,macOS,1295.09,936,512.0,SSD,1,1,2,1938.5187334437085,7.167107318945511,1.4488622792409376
937,Microsoft,Intel i7,4,1TB SSD,Nvidia RTX 3080,14.0,3840x2160,9.8,2.19,Windows,2001.28,937,1024.0,SSD,1,3,7,1975.2035489361701,7.602041810235509,2.13446350069504
938,Apple,Intel i3,64,512GB SSD,Nvidia GTX 1650,15.6,3840x2160,9.8,1.97,Windows,5321.17,938,512.0,SSD,1,1,2,2915.3642789223454,8.579636393906089,18.47516264341613
939,Microsoft,Intel i3,4,1TB SSD,AMD Radeon RX 6800,15.6,3840x2160,8.9,3.24,Linux,1531.35,939,1024.0,SSD,1,1,4,1975.2035489361701,7.334557783737658,1.5649623689654446
940,Asus,Intel i3,4,512GB SSD,Nvidia RTX 3080,16.0,3840x2160,5.3,1.98,Windows,1336.78,940,512.0,SSD,1,1,7,1927.3151416309015,7.198766802654781,1.7391125035522053
941,MSI,Intel i5,8,1TB HDD,Nvidia RTX 3080,15.6,3840x2160,10.8,3.27,FreeDOS,2009.85,941,1024.0,HDD,0,2,7,2517.552226890756,7.606312797234358,3.0718746930686356
942,HP,Intel i5,8,1TB HDD,AMD Radeon RX 6800,14.0,3840x2160,11.7,3.48,Windows,1490.27,942,1024.0,HDD,0,2,4,1938.5187334437085,7.307383384889668,2.897724558481875
943,Samsung,Intel i9,16,1TB SSD,Nvidia RTX 3060,13.3,1366x768,4.2,1.23,FreeDOS,1645.52,943,1024.0,SSD,1,4,6,1959.007248495271,7.406419248721084,5.679349027239243
944,Razer,Intel i5,4,1TB SSD,AMD Radeon RX 6800,17.3,3840x2160,10.1,1.42,Windows,2147.93,944,1024.0,SSD,1,2,4,2695.213804444444,7.672725322822087,1.762637867536862
945,HP,Intel i5,16,256GB SSD,AMD Radeon RX 6800,14.0,1366x768,4.3,1.88,macOS,1059.8,945,256.0,SSD,1,2,4,1938.5187334437085,6.966778619431598,5.1678979403719
946,Razer,AMD Ryzen 9,4,2TB SSD,Nvidia GTX 1650,16.0,1366x768,10.4,3.45,Windows,1977.65,946,2048.0,SSD,1,4,2,2695.213804444444,7.590170072963039,2.0418887749551895
947,MSI,AMD Ryzen 9,64,256GB SSD,Nvidia GTX 1650,15.6,2560x1440,4.7,3.37,macOS,7128.99,947,256.0,SSD,1,4,2,2517.552226890756,8.872065110882813,19.068189139130382
948,Samsung,AMD Ryzen 3,8,2TB SSD,AMD Radeon RX 6800,13.3,3840x2160,9.5,1.87,Linux,1539.18,948,2048.0,SSD,1,1,4,1959.007248495271,7.3396545716942585,2.7000490599104574
949,Lenovo,Intel i7,16,512GB SSD,AMD Radeon RX 6600,14.0,1366x768,11.6,2.09,Windows,1360.17,949,512.0,SSD,1,3,3,1978.465790393013,7.21609990300686,5.3075233940810636
950,Acer,Intel i3,32,512GB SSD,Nvidia RTX 3060,14.0,3840x2160,6.1,2.1,Linux,2317.71,950,512.0,SSD,1,1,6,1914.1085150214592,7.748766275533097,9.62666929530504
951,Acer,Intel i5,16,256GB SSD,Nvidia RTX 3060,15.6,1366x768,5.4,2.69,FreeDOS,1017.79,951,256.0,SSD,1,2,6,1914.1085150214592,6.926370927587951,5.283998030096408
952,Microsoft,Intel i3,16,256GB SSD,Nvidia GTX 1650,14.0,3840x2160,5.3,2.35,macOS,1550.97,952,256.0,SSD,1,1,2,1975.2035489361701,7.347280370659432,4.854122352075976
953,Microsoft,Intel i5,64,512GB SSD,Integrated,16.0,3840x2160,6.5,1.7,Linux,2848.25,953,512.0,SSD,1,2,1,1975.2035489361701,7.954811080735845,18.61478809712529
954,MSI,Intel i3,64,1TB HDD,Nvidia RTX 3080,13.3,2560x1440,9.5,1.7,macOS,2601.79,954,1024.0,HDD,0,1,7,2517.552226890756,7.864339225597158,18.7654128677274
955,Samsung,AMD Ryzen 3,8,2TB SSD,AMD Radeon RX 6600,15.6,1920x1080,4.4,2.14,macOS,1076.3,955,2048.0,SSD,1,1,3,1959.007248495271,6.982213189900147,2.641999015048204
956,MSI,Intel i9,4,256GB SSD,AMD Radeon RX 6600,16.0,1366x768,6.0,2.63,macOS,1722.0,956,256.0,SSD,1,4,3,2517.552226890756,7.45182223652793,2.099938819817443
957,MSI,AMD Ryzen 3,4,256GB SSD,AMD Radeon RX 6800,13.3,2560x1440,11.0,1.93,Linux,1285.22,957,256.0,SSD,1,1,4,2517.552226890756,7.159462963261099,1.5649623689654446
958,Apple,AMD Ryzen 9,64,1TB HDD,Nvidia RTX 3080,13.3,1920x1080,10.2,1.68,Linux,4927.47,958,1024.0,HDD,0,4,7,2915.3642789223454,8.502783874042228,19.35843936344165
959,Samsung,AMD Ryzen 7,8,1TB SSD,AMD Radeon RX 6600,13.3,2560x1440,4.2,1.86,FreeDOS,1559.72,959,1024.0,SSD,1,3,3,1959.007248495271,7.352902532229006,3.037350012191039
960,MSI,AMD Ryzen 3,32,512GB SSD,Nvidia RTX 2060,13.3,2560x1440,5.4,2.7,Linux,2184.14,960,512.0,SSD,1,1,5,2517.552226890756,7.689435178703634,9.568619250442788
961,Asus,Intel i7,32,1TB HDD,Nvidia RTX 2060,17.3,1920x1080,11.7,1.85,Linux,1867.74,961,1024.0,HDD,0,3,5,1927.3151416309015,7.533019685954111,9.963970247585623
962,Asus,AMD Ryzen 9,4,1TB SSD,Integrated,13.3,1920x1080,10.6,2.43,macOS,958.14,962,1024.0,SSD,1,4,1,1927.3151416309015,6.866037049630067,1.983838730092936
963,Lenovo,AMD Ryzen 9,32,1TB HDD,Nvidia RTX 3080,14.0,2560x1440,10.8,1.92,macOS,2709.86,963,1024.0,HDD,0,4,7,1978.465790393013,7.905021206704484,10.277745835881547
964,Acer,AMD Ryzen 3,4,1TB SSD,Nvidia RTX 3080,15.6,1366x768,4.4,2.22,FreeDOS,867.34,964,1024.0,SSD,1,1,7,1914.1085150214592,6.766583343033072,1.7391125035522053
965,MSI,Intel i7,8,256GB SSD,Integrated,16.0,1920x1080,10.6,3.16,FreeDOS,1330.72,965,256.0,SSD,1,3,1,2517.552226890756,7.194226618792861,2.9212499224665316
966,Dell,AMD Ryzen 5,32,1TB SSD,AMD Radeon RX 6600,16.0,2560x1440,6.9,2.7,Windows,2127.44,966,1024.0,SSD,1,2,3,1972.2702222222224,7.663144596005496,9.650194659289697
967,Microsoft,Intel i3,64,2TB SSD,Integrated,15.6,3840x2160,6.3,2.7,FreeDOS,2565.73,967,2048.0,SSD,1,1,1,1975.2035489361701,7.85038799419391,18.417112598553874
968,Dell,AMD Ryzen 7,8,1TB HDD,Nvidia GTX 1650,13.3,1366x768,4.7,1.62,Linux,879.0,968,1024.0,HDD,0,3,2,1972.2702222222224,6.779921907472252,2.979299967328785
969,Samsung,Intel i5,8,1TB HDD,Integrated,16.0,1920x1080,4.8,3.42,FreeDOS,615.02,969,1024.0,HDD,0,2,1,1959.007248495271,6.423279430538928,2.7235744238951143
970,Dell,AMD Ryzen 5,16,2TB SSD,Integrated,17.3,1920x1080,10.0,2.24,macOS,798.35,970,2048.0,SSD,1,2,1,1972.2702222222224,6.683798897410901,4.993747805785139
971,MSI,Intel i5,16,1TB SSD,Nvidia GTX 1650,13.3,1366x768,7.6,2.14,macOS,1337.1,971,1024.0,SSD,1,2,2,2517.552226890756,7.199005976310943,5.051797850647393
972,Asus,Intel i9,16,1TB HDD,AMD Radeon RX 6600,13.3,1920x1080,5.7,1.69,Linux,1583.29,972,1024.0,HDD,0,4,3,1927.3151416309015,7.367891636425206,5.505198892652482
973,MSI,Intel i3,4,256GB SSD,AMD Radeon RX 6800,14.0,2560x1440,11.1,2.2,Linux,1251.97,973,256.0,SSD,1,1,4,2517.552226890756,7.133272012071532,1.5649623689654446
974,Razer,Intel i5,4,1TB HDD,AMD Radeon RX 6800,15.6,2560x1440,11.0,1.65,Windows,1531.72,974,1024.0,HDD,0,2,4,2695.213804444444,7.334799213787737,1.762637867536862
975,Razer,AMD Ryzen 7,16,1TB SSD,Nvidia GTX 1650,13.3,3840x2160,5.5,1.62,FreeDOS,3591.75,975,1024.0,SSD,1,3,2,2695.213804444444,8.186673204954356,5.24947334921881
976,Asus,AMD Ryzen 7,16,2TB SSD,AMD Radeon RX 6600,14.0,1920x1080,7.5,1.67,Windows,1451.33,976,2048.0,SSD,1,3,3,1927.3151416309015,7.28092444228948,5.3075233940810636
977,Acer,Intel i3,16,1TB SSD,Nvidia RTX 3080,14.0,2560x1440,10.8,2.61,FreeDOS,1119.26,977,1024.0,SSD,1,1,7,1914.1085150214592,7.021316080205299,5.144372576387243
978,MSI,AMD Ryzen 9,64,1TB SSD,Nvidia GTX 1650,14.0,2560x1440,10.2,1.52,FreeDOS,6439.56,978,1024.0,SSD,1,4,2,2517.552226890756,8.770370771839639,19.068189139130382
979,HP,Intel i9,32,512GB SSD,AMD Radeon RX 6600,16.0,1366x768,6.2,2.73,macOS,2304.29,979,512.0,SSD,1,4,3,1938.5187334437085,7.742961760965924,10.045545656432532
980,Asus,AMD Ryzen 7,4,256GB SSD,AMD Radeon RX 6600,17.3,2560x1440,7.0,1.94,Linux,1685.98,980,256.0,SSD,1,3,3,1927.3151416309015,7.430695227111141,1.9022633212460256
981,Microsoft,AMD Ryzen 7,64,1TB SSD,Integrated,14.0,1366x768,9.6,1.56,FreeDOS,1624.47,981,1024.0,SSD,1,3,1,1975.2035489361701,7.393552283713913,18.81246359569671
982,Razer,Intel i5,32,1TB SSD,Nvidia RTX 2060,16.0,1366x768,4.5,2.55,macOS,2064.78,982,1024.0,SSD,1,2,5,2695.213804444444,7.633263158046337,9.766294749014206
983,Samsung,AMD Ryzen 9,16,1TB HDD,AMD Radeon RX 6800,15.6,3840x2160,5.2,2.32,macOS,3064.62,983,1024.0,HDD,0,4,4,1959.007248495271,8.02800511176361,5.563248937514736
984,Acer,AMD Ryzen 7,32,2TB SSD,Nvidia RTX 3080,16.0,3840x2160,9.6,1.3,Linux,3638.72,984,2048.0,SSD,1,3,7,1914.1085150214592,8.199662034595132,10.08007033731013
985,Asus,AMD Ryzen 5,32,1TB SSD,Nvidia GTX 1650,15.6,1920x1080,11.5,1.29,FreeDOS,1772.01,985,1024.0,SSD,1,2,2,1927.3151416309015,7.480433946216227,9.592144614427443
986,Samsung,AMD Ryzen 9,16,256GB SSD,AMD Radeon RX 6800,14.0,2560x1440,6.6,1.35,Linux,2516.91,986,256.0,SSD,1,4,4,1959.007248495271,7.83118447131261,5.563248937514736
987,Dell,Intel i5,4,512GB SSD,Nvidia RTX 2060,16.0,1366x768,6.3,2.04,FreeDOS,988.7,987,512.0,SSD,1,2,5,1972.2702222222224,6.897401866902645,1.8206879123991155
988,MSI,Intel i3,32,1TB HDD,AMD Radeon RX 6800,14.0,1366x768,11.1,1.62,Windows,1257.96,988,1024.0,HDD,0,1,4,2517.552226890756,7.138041262292609,9.510569205580534
989,Lenovo,Intel i3,64,2TB SSD,Nvidia RTX 3060,17.3,1920x1080,6.7,2.49,macOS,2148.88,989,2048.0,SSD,1,1,6,1978.465790393013,7.673167305610564,18.707362822865143
990,Lenovo,AMD Ryzen 3,8,2TB SSD,Integrated,16.0,3840x2160,7.5,1.89,FreeDOS,974.86,990,2048.0,SSD,1,1,1,1978.465790393013,6.8833191335012645,2.5258989253236965
991,Lenovo,Intel i9,16,2TB SSD,Nvidia RTX 2060,17.3,1366x768,5.8,2.36,Windows,1756.33,991,2048.0,SSD,1,4,5,1978.465790393013,7.471550890699081,5.621298982376989
992,Apple,AMD Ryzen 5,16,512GB SSD,Nvidia RTX 3080,15.6,2560x1440,11.3,3.25,macOS,2474.87,992,512.0,SSD,1,2,7,2915.3642789223454,7.814347128387329,5.342048074958661
993,Microsoft,AMD Ryzen 3,4,1TB SSD,Nvidia RTX 3060,13.3,1920x1080,11.7,1.3,FreeDOS,803.47,993,1024.0,SSD,1,1,6,1975.2035489361701,6.690183675494753,1.6810624586899519
994,Microsoft,Intel i7,4,1TB SSD,AMD Radeon RX 6600,13.3,3840x2160,6.3,3.48,Linux,1784.79,994,1024.0,SSD,1,3,3,1975.2035489361701,7.4876161733362245,1.9022633212460256
995,Samsung,AMD Ryzen 7,8,512GB SSD,AMD Radeon RX 6800,15.6,1920x1080,8.4,1.21,FreeDOS,1486.83,995,512.0,SSD,1,3,4,1959.007248495271,7.305073961554488,3.0954000570532925
996,MSI,Intel i7,16,2TB SSD,Nvidia GTX 1650,14.0,1920x1080,6.5,2.78,Windows,1995.09,996,2048.0,SSD,1,3,2,2517.552226890756,7.598945546035238,5.24947334921881
997,Razer,Intel i7,8,2TB SSD,Integrated,15.6,1366x768,9.7,2.39,macOS,1105.85,997,2048.0,SSD,1,3,1,2695.213804444444,7.009273422172485,2.9212499224665316
998,MSI,AMD Ryzen 3,64,1TB SSD,Nvidia RTX 3060,16.0,1366x768,9.0,2.61,Linux,2397.12,998,1024.0,SSD,1,1,6,2517.552226890756,7.782440376036833,18.707362822865143
999,Razer,Intel i9,8,2TB SSD,Nvidia RTX 2060,13.3,1920x1080,7.0,2.01,Linux,2330.07,999,2048.0,SSD,1,4,5,2695.213804444444,7.7540826686148945,3.351125600486963
1000,Microsoft,AMD Ryzen 5,4,512GB SSD,AMD Radeon RX 6800,17.3,3840x2160,10.1,1.33,macOS,1592.22,1000,512.0,SSD,1,2,4,1975.2035489361701,7.373512404580441,1.762637867536862
1001,Apple,Intel i7,64,1TB HDD,AMD Radeon RX 6800,14.0,1920x1080,9.5,3.48,Linux,3804.39,1001,1024.0,HDD,0,3,4,2915.3642789223454,8.244173761758205,18.98661373028347
1002,Microsoft,AMD Ryzen 3,8,1TB SSD,AMD Radeon RX 6600,16.0,1366x768,10.7,1.43,Windows,752.22,1002,1024.0,SSD,1,1,3,1975.2035489361701,6.624357349802741,2.641999015048204
1003,MSI,Intel i9,32,512GB SSD,AMD Radeon RX 6800,16.0,1366x768,10.7,2.69,Linux,3110.18,1003,512.0,SSD,1,4,4,2517.552226890756,8.042757354433116,10.103595701294786
1004,Dell,Intel i5,16,2TB SSD,Integrated,16.0,3840x2160,11.8,3.18,Windows,1391.87,1004,2048.0,SSD,1,2,1,1972.2702222222224,7.239121645663207,4.993747805785139
1005,HP,Intel i3,4,256GB SSD,Nvidia GTX 1650,16.0,1920x1080,4.7,2.64,FreeDOS,994.76,1005,256.0,SSD,1,1,2,1938.5187334437085,6.903506264692722,1.4488622792409376
1006,Samsung,Intel i7,32,512GB SSD,AMD Radeon RX 6800,16.0,1920x1080,7.2,2.77,macOS,2301.34,1006,512.0,SSD,1,3,4,1959.007248495271,7.7416812760298175,9.905920202723369
1007,Asus,AMD Ryzen 3,4,1TB HDD,AMD Radeon RX 6800,13.3,1920x1080,4.2,2.82,FreeDOS,664.44,1007,1024.0,HDD,0,1,4,1927.3151416309015,6.5004484759946015,1.5649623689654446
1008,Acer,Intel i5,64,1TB SSD,AMD Radeon RX 6600,14.0,2560x1440,10.4,3.09,FreeDOS,2960.65,1008,1024.0,SSD,1,2,3,1914.1085150214592,7.993501824442793,18.7308881868498
1009,HP,AMD Ryzen 7,4,512GB SSD,Integrated,13.3,2560x1440,9.0,1.8,FreeDOS,913.12,1009,512.0,SSD,1,3,1,1938.5187334437085,6.817961853864683,1.7861632315215186
1010,Samsung,Intel i5,64,256GB SSD,Nvidia RTX 2060,15.6,2560x1440,11.9,2.25,macOS,3282.92,1010,256.0,SSD,1,2,5,1959.007248495271,8.096793109739664,18.846988276574308
1011,Samsung,AMD Ryzen 3,4,2TB SSD,AMD Radeon RX 6600,17.3,1920x1080,5.6,2.16,Linux,864.46,1011,2048.0,SSD,1,1,3,1959.007248495271,6.763261157488188,1.506912324103191
1012,Apple,AMD Ryzen 9,8,1TB HDD,Nvidia GTX 1650,13.3,2560x1440,9.9,2.38,Windows,2453.3,1012,1024.0,HDD,0,4,2,2915.3642789223454,7.805596867187762,3.1769754659002025
1013,Razer,Intel i9,16,1TB SSD,Nvidia RTX 3080,15.6,1920x1080,7.7,2.82,macOS,3068.69,1013,1024.0,SSD,1,4,7,2695.213804444444,8.029331858284005,5.737399072101496
1014,Dell,Intel i9,4,256GB SSD,AMD Radeon RX 6800,14.0,3840x2160,9.9,2.13,Linux,2441.1,1014,256.0,SSD,1,4,4,1972.2702222222224,7.80061360387317,2.1579888646796967
1015,MSI,Intel i5,8,512GB SSD,Nvidia RTX 3080,14.0,1920x1080,5.3,2.98,Linux,1437.82,1015,512.0,SSD,1,2,7,2517.552226890756,7.271578612197474,3.0718746930686356
1016,Apple,AMD Ryzen 5,64,512GB SSD,Nvidia RTX 2060,14.0,3840x2160,6.6,3.04,Windows,5861.03,1016,512.0,SSD,1,2,5,2915.3642789223454,8.67625123896501,18.846988276574308
1017,Acer,AMD Ryzen 3,64,2TB SSD,Nvidia RTX 3060,14.0,1366x768,6.2,2.98,Linux,1714.78,1017,2048.0,SSD,1,1,6,1914.1085150214592,7.447623066700722,18.707362822865143
1018,Samsung,AMD Ryzen 9,64,256GB SSD,Nvidia RTX 3060,17.3,3840x2160,11.2,2.72,Windows,7261.21,1018,256.0,SSD,1,4,6,1959.007248495271,8.890439469209714,19.300389318579395
1019,Samsung,Intel i9,16,1TB HDD,AMD Radeon RX 6800,15.6,2560x1440,11.2,1.38,macOS,2364.44,1019,1024.0,HDD,0,4,4,1959.007248495271,7.768719330133155,5.563248937514736
1020,Asus,Intel i7,4,2TB SSD,Integrated,13.3,2560x1440,8.1,1.42,Windows,1012.49,1020,2048.0,SSD,1,3,1,1927.3151416309015,6.921155099045154,1.7861632315215186
1021,Samsung,Intel i7,32,1TB SSD,Nvidia RTX 3080,16.0,1366x768,11.5,2.1,Windows,1819.1,1021,1024.0,SSD,1,3,7,1959.007248495271,7.506646723616361,10.08007033731013
1022,MSI,AMD Ryzen 3,16,512GB SSD,Nvidia RTX 3080,14.0,2560x1440,12.0,3.23,macOS,1710.84,1022,512.0,SSD,1,1,7,2517.552226890756,7.445324094390297,5.144372576387243
1023,Samsung,AMD Ryzen 9,4,256GB SSD,Nvidia GTX 1650,17.3,3840x2160,7.7,2.93,FreeDOS,2628.97,1023,256.0,SSD,1,4,2,1959.007248495271,7.874727718262645,2.0418887749551895
1024,Apple,Intel i5,16,256GB SSD,Nvidia GTX 1650,13.3,1366x768,11.4,2.19,FreeDOS,1522.27,1024,256.0,SSD,1,2,2,2915.3642789223454,7.328614618863514,5.051797850647393
1025,Apple,Intel i3,64,1TB SSD,AMD Radeon RX 6600,17.3,1920x1080,11.0,3.31,macOS,3260.7,1025,1024.0,SSD,1,1,3,2915.3642789223454,8.090003810833913,18.533212688278383
1026,Lenovo,AMD Ryzen 9,32,256GB SSD,AMD Radeon RX 6600,14.0,1366x768,10.0,3.19,FreeDOS,2308.97,1026,256.0,SSD,1,4,3,1978.465790393013,7.74498981641852,10.045545656432532
1027,HP,Intel i3,32,512GB SSD,Nvidia GTX 1650,17.3,3840x2160,11.0,3.21,Linux,2373.59,1027,512.0,SSD,1,1,2,1938.5187334437085,7.7725800699872485,9.394469115856026
1028,MSI,AMD Ryzen 5,32,1TB HDD,Integrated,16.0,3840x2160,9.1,1.74,Linux,2013.33,1028,1024.0,HDD,0,2,1,2517.552226890756,7.608041912884865,9.534094569565191
1029,HP,Intel i7,4,2TB SSD,AMD Radeon RX 6600,13.3,2560x1440,4.2,2.86,macOS,1286.32,1029,2048.0,SSD,1,3,3,1938.5187334437085,7.160317816938903,1.9022633212460256
1030,Asus,Intel i9,64,512GB SSD,Nvidia RTX 3080,17.3,3840x2160,6.7,1.44,Linux,7032.89,1030,512.0,SSD,1,4,7,1927.3151416309015,8.858495174583528,19.35843936344165
1031,Dell,Intel i9,64,1TB SSD,Nvidia RTX 3080,13.3,1366x768,9.6,2.09,FreeDOS,3201.32,1031,1024.0,SSD,1,4,7,1972.2702222222224,8.071630826102275,19.35843936344165
1032,Lenovo,AMD Ryzen 9,4,2TB SSD,AMD Radeon RX 6600,15.6,1366x768,8.6,2.58,Windows,1312.37,1032,2048.0,SSD,1,4,3,1978.465790393013,7.180351632015873,2.099938819817443
1033,Asus,Intel i5,32,2TB SSD,Nvidia RTX 3060,13.3,2560x1440,10.6,3.13,Linux,1954.36,1033,2048.0,SSD,1,2,6,1927.3151416309015,7.57832959868969,9.824344793876458
1034,MSI,AMD Ryzen 9,32,1TB SSD,AMD Radeon RX 6600,14.0,1920x1080,9.0,2.7,FreeDOS,3345.27,1034,1024.0,SSD,1,4,3,2517.552226890756,8.115601571656446,10.045545656432532
1035,HP,AMD Ryzen 5,64,1TB HDD,AMD Radeon RX 6600,13.3,3840x2160,4.8,3.26,Windows,3159.3,1035,1024.0,HDD,0,2,3,1938.5187334437085,8.058422238783615,18.7308881868498
1036,MSI,AMD Ryzen 5,16,1TB SSD,Nvidia RTX 2060,14.0,1366x768,8.0,3.29,macOS,1224.21,1036,1024.0,SSD,1,2,5,2517.552226890756,7.110867536858057,5.2259479852341535
1037,Samsung,Intel i7,8,512GB SSD,Integrated,15.6,3840x2160,7.8,1.62,Windows,1610.82,1037,512.0,SSD,1,3,1,1959.007248495271,7.3851192543008315,2.9212499224665316
1038,Acer,AMD Ryzen 7,16,1TB SSD,Nvidia RTX 2060,17.3,3840x2160,7.4,2.22,Windows,2636.54,1038,1024.0,SSD,1,3,5,1914.1085150214592,7.877601943546098,5.423623483805571
1039,MSI,AMD Ryzen 3,4,1TB HDD,AMD Radeon RX 6800,16.0,1366x768,10.8,2.36,Linux,814.71,1039,1024.0,HDD,0,1,4,2517.552226890756,6.7040588996404855,1.5649623689654446
1040,Razer,AMD Ryzen 3,16,256GB SSD,AMD Radeon RX 6800,15.6,1920x1080,10.2,2.73,Windows,1420.35,1040,256.0,SSD,1,1,4,2695.213804444444,7.25936240318762,4.970222441800483
1041,Apple,AMD Ryzen 3,64,1TB SSD,Integrated,14.0,1366x768,9.4,2.32,macOS,1747.48,1041,1024.0,SSD,1,1,1,2915.3642789223454,7.4665021180622615,18.417112598553874
1042,HP,Intel i5,32,256GB SSD,Nvidia GTX 1650,17.3,3840x2160,8.8,2.1,FreeDOS,2993.35,1042,256.0,SSD,1,2,2,1938.5187334437085,8.004482458614849,9.592144614427443
1043,Microsoft,Intel i5,64,512GB SSD,Nvidia GTX 1650,13.3,3840x2160,5.3,1.36,macOS,3934.61,1043,512.0,SSD,1,2,2,1975.2035489361701,8.277821167897011,18.672838141987548
1044,Microsoft,AMD Ryzen 7,8,2TB SSD,Nvidia GTX 1650,13.3,2560x1440,9.2,2.96,macOS,1483.41,1044,2048.0,SSD,1,3,2,1975.2035489361701,7.3027726658923955,2.979299967328785
1045,Razer,AMD Ryzen 9,8,2TB SSD,AMD Radeon RX 6800,14.0,2560x1440,10.3,3.36,FreeDOS,2784.35,1045,2048.0,SSD,1,4,4,2695.213804444444,7.932128817714714,3.2930755556247098
1046,Razer,Intel i7,32,256GB SSD,Nvidia RTX 2060,16.0,2560x1440,6.1,2.85,macOS,3826.76,1046,256.0,SSD,1,3,5,2695.213804444444,8.25003505468261,9.963970247585623
1047,HP,AMD Ryzen 9,8,1TB SSD,Nvidia GTX 1650,17.3,3840x2160,10.9,3.1,Linux,2940.98,1047,1024.0,SSD,1,4,2,1938.5187334437085,7.986838103041743,3.1769754659002025
1048,Asus,Intel i5,32,512GB SSD,Nvidia RTX 3060,14.0,2560x1440,9.7,2.37,macOS,1910.63,1048,512.0,SSD,1,2,6,1927.3151416309015,7.555711560240621,9.824344793876458
1049,Apple,AMD Ryzen 5,4,256GB SSD,Nvidia RTX 3080,13.3,1366x768,6.6,3.05,Linux,1209.93,1049,256.0,SSD,1,2,7,2915.3642789223454,7.099143938414199,1.9367880021236226
1050,Microsoft,AMD Ryzen 5,16,512GB SSD,AMD Radeon RX 6600,15.6,2560x1440,8.8,1.89,Windows,1762.83,1050,512.0,SSD,1,2,3,1975.2035489361701,7.4752428600405825,5.109847895509646
1051,Razer,Intel i7,32,1TB SSD,Nvidia RTX 3060,13.3,3840x2160,5.5,2.03,Linux,4672.6,1051,1024.0,SSD,1,3,6,2695.213804444444,8.449684931633477,10.022020292447875
1052,Lenovo,AMD Ryzen 7,16,256GB SSD,Nvidia RTX 2060,13.3,3840x2160,7.4,2.78,FreeDOS,2421.34,1052,256.0,SSD,1,3,5,1978.465790393013,7.7924892941120705,5.423623483805571
1053,Razer,Intel i5,8,1TB SSD,AMD Radeon RX 6800,17.3,3840x2160,11.6,3.11,FreeDOS,2501.68,1053,1024.0,SSD,1,2,4,2695.213804444444,7.825117436674604,2.897724558481875
1054,Dell,AMD Ryzen 7,64,1TB HDD,AMD Radeon RX 6600,13.3,3840x2160,8.5,1.48,FreeDOS,4113.05,1054,1024.0,HDD,0,3,3,1972.2702222222224,8.322163223760827,18.928563685421217
1055,Dell,Intel i9,32,1TB SSD,Nvidia GTX 1650,17.3,1366x768,7.5,3.32,Windows,2334.81,1055,1024.0,SSD,1,4,2,1972.2702222222224,7.7561140050237585,9.987495611570278
1056,Samsung,AMD Ryzen 3,32,512GB SSD,AMD Radeon RX 6600,17.3,3840x2160,4.0,2.56,Linux,2468.24,1056,512.0,SSD,1,1,3,1959.007248495271,7.81166568996734,9.45251916071828
